sumber,GHI_thn,POA_thn,E_thn1_kWh,NPV
LIGHTGBM-METEO,1725.6,1728.1,6912.396789258921,20602093.398237105
XGBOOST-METEO,1722.300048828125,1725.2,6900.775844852801,20425251.319695245
AKTUAL (referensi),1685.3,1684.8,6739.146160304485,17965646.62917288
